Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01 00:00:00.000035065,3.03,3.03,2.925,2.98,2.417746,350000.0
1970-01-01 00:00:00.000035066,2.98,3.025,2.95,2.975,2.413689,412000.0
1970-01-01 00:00:00.000035067,2.975,2.995,2.95,2.985,2.421803,284000.0
1970-01-01 00:00:00.000035068,2.985,2.98,2.94,2.965,2.405575,282000.0
1970-01-01 00:00:00.000035069,2.965,2.98,2.95,2.96,2.401519,189000.0
1970-01-01 00:00:00.000035072,2.96,2.95,2.91,2.925,2.373122,237000.0
1970-01-01 00:00:00.000035073,2.925,2.925,2.8,2.83,2.296047,483000.0
1970-01-01 00:00:00.000035074,2.83,2.865,2.81,2.84,2.30416,226000.0
1970-01-01 00:00:00.000035075,2.84,2.88,2.8,2.83,2.296047,318000.0
1970-01-01 00:00:00.000035076,2.83,2.835,2.8,2.825,2.291991,431000.0
1970-01-01 00:00:00.000035079,2.825,2.815,2.775,2.79,2.263594,181000.0
1970-01-01 00:00:00.000035080,2.79,2.8,2.74,2.74,2.223028,358000.0
1970-01-01 00:00:00.000035081,2.74,2.795,2.63,2.655,2.154066,429000.0
1970-01-01 00:00:00.000035082,2.655,2.655,2.6,2.64,2.141895,330000.0
1970-01-01 00:00:00.000035083,2.64,2.63,2.535,2.555,2.072933,426000.0
1970-01-01 00:00:00.000035086,2.555,2.59,2.52,2.545,2.06482,359000.0
1970-01-01 00:00:00.000035087,2.545,2.6,2.51,2.53,2.05265,399000.0
1970-01-01 00:00:00.000035088,2.53,2.53,2.45,2.465,1.999914,449000.0
1970-01-01 00:00:00.000035089,2.465,2.45,2.41,2.435,1.975574,390000.0
1970-01-01 00:00:00.000035090,2.435,2.435,2.435,2.435,1.975574,0.0
1970-01-01 00:00:00.000035093,2.435,2.495,2.395,2.485,2.01614,311000.0
1970-01-01 00:00:00.000035094,2.485,2.55,2.485,2.52,2.044537,452000.0
1970-01-01 00:00:00.000035095,2.52,2.635,2.55,2.59,2.10133,344000.0
1970-01-01 00:00:00.000035096,2.59,2.8,2.6,2.78,2.25548,424000.0
1970-01-01 00:00:00.000035097,2.78,2.995,2.8,2.915,2.365009,819000.0
1970-01-01 00:00:00.000035100,2.915,3.1,2.95,2.995,2.429915,906000.0
1970-01-01 00:00:00.000035101,2.995,3.05,2.95,2.975,2.413689,888000.0
1970-01-01 00:00:00.000035102,2.975,2.925,2.825,2.865,2.324444,586000.0
